player_name,actual_goals,xg,attempts,overperf
Edinson Roberto Cavani Gómez,3,2.317775842763995,19,0.6822241572360048
André Martín Carrillo Díaz,1,0.3193049872669921,4,0.6806950127330079
Osman Bukari,1,0.3293411623628179,3,0.670658837637182
Adnan Januzaj,1,0.32966621128085316,3,0.6703337887191468
Takuma Asano,2,1.3426132803929502,9,0.6573867196070498
Achraf Dari,1,0.3512977553457017,1,0.6487022446542983
Saleh Khalid Al Shehri,1,0.3558277588990212,3,0.6441722411009788
Ladislav Petráš,1,0.36236757707501727,3,0.6376324229249828
Jack Grealish,1,0.3628380803283504,3,0.6371619196716496
Renato Soares de Oliveira Augusto,1,0.3650556860668058,3,0.6349443139331943
Mohammed Muntari,1,0.3692599246510073,3,0.6307400753489927
Karl-Heinz Rummenigge,1,0.3792404608642034,2,0.6207595391357966
Raheem Sterling,4,3.386494730772131,26,0.6135052692278689
Gary Lineker,1,0.387103110266728,2,0.612896889733272
Youssef En-Nesyri,4,3.391503511315099,20,0.6084964886849011
Daley Blind,1,0.3940480381494244,5,0.6059519618505755
Sávio Moreira de Oliveira,1,0.39815894751014486,4,0.6018410524898552
Keisuke Honda,1,0.39906688018555214,4,0.6009331198144479
Pape Gueye,1,0.39915333703456185,6,0.6008466629654381
Roger Piantoni,1,0.4021841382740411,6,0.5978158617259589
Benjamin Pavard,1,0.4056371543049052,5,0.5943628456950948
Luka Jović,1,0.40789893049411446,3,0.5921010695058855
Famara Diedhiou,1,0.4087265428308301,3,0.5912734571691699
Teófilo Juan Cubillas Arizaga,1,0.40918099228315813,5,0.5908190077168418
Nahuel Molina Lucero,1,0.4204814831647266,3,0.5795185168352734
Mislav Oršić,3,2.427161999001417,12,0.572838000998583
Theo Bernard François Hernández,2,1.4352912125486141,10,0.5647087874513859
Thomas Meunier,2,1.436094579263129,13,0.563905420736871
Nacer Chadli,1,0.44406985901061663,5,0.5559301409893833
Ivan Rakitić,3,2.450735870191531,17,0.5492641298084688
Hakim Ziyech,3,2.4509881874598323,27,0.5490118125401677
Mohamed Salisu,1,0.4513715466464753,2,0.5486284533535247
Jordan Ayew,2,1.4554643468690145,4,0.5445356531309855
Edvaldo Izidio Neto,3,2.493206414274766,22,0.5067935857252341
Roberto Rivelino,3,2.4937062322318106,33,0.5062937677681894
Khalid Boutaïb,1,0.4964163905554183,4,0.5035836094445817
José Luis Brown,1,0.5057260280953552,2,0.49427397190464484
Ruud Krol,1,0.506258763433563,8,0.493741236566437
Luis Alberto Cubilla Almeida,1,0.5184019430273834,3,0.4815980569726166
Johan Neeskens,3,2.534599611361375,21,0.4654003886386251
Luke Shaw,1,0.5374564082256362,6,0.46254359177436377
Ola Toivonen,1,0.5605007221130597,5,0.4394992778869403
Rudi Völler,1,0.5650617950210792,3,0.4349382049789208
Just Louis Fontaine,1,0.5725980936798261,6,0.42740190632017394
Jorge Luis Burruchaga,1,0.5803671525470421,8,0.4196328474529579
Abdoulaye Seck,1,0.5942923256022616,5,0.40570767439773836
Domagoj Vida,2,1.5965822520300281,4,0.4034177479699719
Lisandro Martínez,1,0.6049432438987098,6,0.3950567561012902
Presnel Kimpembe,1,0.6122591062694558,1,0.3877408937305442
Mitchell Thomas Duke,1,0.6231885384221805,7,0.37681146157781953
Javier Hernández Balcázar,1,0.6279154248262222,6,0.3720845751737778
Alberto Gallardo,1,0.6338441533962528,6,0.3661558466037472
Timothy Weah,1,0.6504856188775751,8,0.34951438112242494
Jan Vertonghen,1,0.6631414230200433,5,0.3368585769799567
Eden Hazard,3,2.669398582273094,24,0.3306014177269061
Kevin De Bruyne,3,2.6702693785880802,35,0.3297306214119198
Clodoaldo Tavares de Santana,1,0.6715869841440429,10,0.32841301585595706
Ludwig Augustinsson,1,0.675909523824356,4,0.324090476175644
