player_name,actual_goals,xg,attempts,overperf
Olivia Fergusson,1,2.3853106185010478,26,-1.3853106185010478
Kirsty Linnett,1,2.416715969693917,27,-1.416715969693917
Ellie Brazil,4,5.417054268222176,41,-1.4170542682221763
Kate Longhurst,2,3.4433720801498047,31,-1.4433720801498047
Niamh Fahey,0,1.4700393057742376,11,-1.4700393057742376
Jennifer Patricia Beattie,3,4.470207350920794,23,-1.470207350920794
Emily Simpkins,0,1.4863571128649764,16,-1.4863571128649764
Rhiannon Roberts,0,1.4961108707279696,18,-1.4961108707279696
Ramona Bachmann,4,5.510760743187033,58,-1.5107607431870331
Léa Le Garrec,1,2.517730305867339,36,-1.5177303058673388
Felicity Gibbons,0,1.5293603850828152,16,-1.5293603850828152
Jessica Anne Clarke,1,2.5396639753908614,28,-1.5396639753908614
Danielle Buet,1,2.548536973081103,39,-1.5485369730811032
Danielle Carter,3,4.682838983435387,43,-1.6828389834353867
Erin Cuthbert,10,11.691902966782383,112,-1.6919029667823828
Josie Green,0,1.7346030908024912,21,-1.7346030908024912
Leah Williamson,3,4.806150041469841,37,-1.8061500414698406
Harriet Scott,0,1.8096960761802352,20,-1.8096960761802352
Brianna Visalli,1,2.883795437613848,36,-1.883795437613848
Millie Bright,4,5.905946430923527,51,-1.9059464309235272
Megan Finnigan,2,3.906624478351625,26,-1.9066244783516249
Jackie Groenen,0,1.9067012885940222,23,-1.9067012885940222
Marouane Fellaini-Bakkioui,1,2.9377099419133343,22,-1.9377099419133343
Niamh Charles,3,4.97467247473985,37,-1.97467247473985
Melissa Lawley,1,2.9870039152470933,28,-1.9870039152470933
Rosella Ayane,2,4.063501489904937,57,-2.0635014899049366
Janine Elizabeth Beckie,5,7.112962872258507,64,-2.1129628722585068
Millie Turner,2,4.159153433995819,30,-2.1591534339958187
Memphis Depay,2,4.20079181685063,56,-2.2007918168506304
Amy Turner,0,2.2340554406414506,16,-2.2340554406414506
Iniabasi Anefiok Umotong,3,5.3253808681666035,52,-2.3253808681666035
Alanna Stephanie Kennedy,1,3.447668276776635,33,-2.447668276776635
Amalie Vevle Eikeland,4,6.447934884379442,55,-2.4479348843794417
Jonna Ann-Charlotte Andersson,0,2.4644805815269253,33,-2.4644805815269253
Rianna Dean,4,6.552721630005192,38,-2.552721630005192
Rachel Williams,0,2.631003825954018,26,-2.631003825954018
Jill Scott,3,5.715225853948068,48,-2.715225853948068
Ria Percival,0,2.7876333140764133,29,-2.7876333140764133
Drew Spence,4,6.881240120990689,55,-2.8812401209906886
Chris Smalling,0,2.954763920753873,21,-2.954763920753873
Angharad James,2,5.07954720843992,55,-3.0795472084399202
Charlie Wellings,5,8.086125389746915,90,-3.0861253897469147
Gilly Louise Scarlett Flaherty,1,4.101198909671667,30,-3.101198909671667
Lucy Staniforth,3,6.288076325921611,85,-3.288076325921611
Carla Humphrey,0,3.5092402634847355,47,-3.5092402634847355
Kayleigh Green,4,7.892600722871724,66,-3.892600722871724
Magdalena Lilly Eriksson,4,9.877797692787052,66,-5.877797692787052
