player_name,actual_goals,xg,attempts,overperf
Marta Vieira da Silva,2,2.6906639066265523,25,-0.6906639066265523
Camila Martins Pereira,0,0.6962588130419094,9,-0.6962588130419094
Janine Elizabeth Beckie,0,0.7345453580713925,9,-0.7345453580713925
Andi Sullivan,0,0.7742218163196488,10,-0.7742218163196488
Kristen Hamilton,1,1.7899062430359698,18,-0.7899062430359698
Katrina Gorry,0,0.8049852761785152,8,-0.8049852761785152
Kyah Pam Simon,0,0.8800329640616493,9,-0.8800329640616493
Jessica Fishlock,0,0.909115122070479,11,-0.909115122070479
Vanessa DiBernardo,0,0.9563785412449249,12,-0.9563785412449249
Christine Margaret Sinclair,0,0.9841751917123996,12,-0.9841751917123996
Sofia Huerta,0,1.0263676890870985,11,-1.0263676890870985
Emily Louise van Egmond,0,1.1160917269398392,11,-1.1160917269398392
Jessica McDonald,3,4.340939198652682,39,-1.3409391986526824
Denise O'Sullivan,0,1.4678566778975064,18,-1.4678566778975064
Ashley Hatch,1,3.2443713988907983,35,-2.2443713988907983
