player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Ibrahim Abdallah Hamad,2023,0,1,0,Tanzania,Left Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Blati Touré,2023,0,1,0,Burkina Faso,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Diakité,2023,0,1,0,Guinea,Right Back,5,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Sangaré,2023,0,5,0,Côte d'Ivoire,Right Center Midfield,25,0,0,African Cup of Nations,2023,2023,2023
Ibrahim Sissoko,2023,0,1,0,Mali,Left Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Ibán Salvador Edu,2023,1,2,0,Equatorial Guinea,Right Wing,60,0,0,African Cup of Nations,2023,2023,2023
Idrissa Thiam,2023,0,4,0,Mauritania,Left Wing,20,0,0,African Cup of Nations,2023,2023,2023
Infren Da Conceição David Matola,2023,0,1,0,Mozambique,Right Back,5,0,0,African Cup of Nations,2023,2023,2023
Islam Slimani,2023,0,2,0,Algeria,Center Forward,10,0,0,African Cup of Nations,2023,2023,2023
Ismael Bennacer,2023,0,1,0,Algeria,Left Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Issa Kabore,2023,0,1,0,Burkina Faso,Right Back,5,0,0,African Cup of Nations,2023,2023,2023
Issiaga Sylla,2023,0,1,0,Guinea,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Issoufou Dayo,2023,0,2,0,Burkina Faso,Right Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Jacinto Muondo Dala,2023,4,9,0,Angola,Left Wing,245,0,0,African Cup of Nations,2023,2023,2023
Jacob Mendy,2023,0,1,0,Gambia,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
James Gomez,2023,0,1,0,Gambia,Right Center Back,5,0,0,African Cup of Nations,2023,2023,2023
Jamiro Gregory Monteiro Alvarenga,2023,1,3,0,Cape Verde Islands,Left Center Midfield,65,0,0,African Cup of Nations,2023,2023,2023
Jannick Buyla Sam,2023,1,1,0,Equatorial Guinea,Left Midfield,55,0,0,African Cup of Nations,2023,2023,2023
Jayden Adams,2023,0,1,0,South Africa,Right Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Jean Michaël Seri,2023,0,2,0,Côte d'Ivoire,Center Defensive Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Jean Thierry Lazare Amani,2023,0,1,0,Côte d'Ivoire,Center Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Jean-Charles Castelletto,2022,1,1,0,Cameroon,Right Center Back,55,0,0,African Cup of Nations,2022,2022,2022
Jean-Charles Castelletto,2023,1,2,0,Cameroon,Left Center Back,60,0,0,African Cup of Nations,2023,2023,2023
Jean-Eric Maxim Choupo-Moting,2022,1,3,0,Cameroon,Center Forward,65,0,0,African Cup of Nations,2022,2022,2022
Jean-Philippe Krasso,2023,1,7,0,Côte d'Ivoire,Center Forward,85,0,0,African Cup of Nations,2023,2023,2023
Jefferson Anilson Silva Encada,2023,0,2,0,Guinea-Bissau,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Jeremie Boga,2023,0,1,0,Côte d'Ivoire,Right Wing,5,0,0,African Cup of Nations,2023,2023,2023
Joe Aribo,2023,0,1,0,Nigeria,Left Defensive Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Jonathan Buatu Mananga,2023,0,3,0,Angola,Left Center Back,15,0,0,African Cup of Nations,2023,2023,2023
Joris Kayembe Ditu,2023,1,1,0,Congo DR,Left Back,55,0,0,African Cup of Nations,2023,2023,2023
José Antonio Miranda Boacho,2023,1,3,0,Equatorial Guinea,Left Wing,65,0,0,African Cup of Nations,2023,2023,2023
José Correia,2023,1,4,0,Guinea-Bissau,Right Wing,70,0,0,African Cup of Nations,2023,2023,2023
José Nabil Onva Adjugu,2023,0,1,0,Equatorial Guinea,Left Wing,5,0,0,African Cup of Nations,2023,2023,2023
José Ndong Machín Dicombo,2023,0,2,0,Equatorial Guinea,Center Attacking Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Jovane Eduardo Borges Cabral,2023,0,9,0,Cape Verde Islands,Left Wing,45,0,0,African Cup of Nations,2023,2023,2023
João Paulo Moreira Fernandes,2023,0,4,0,Cape Verde Islands,Left Back,20,0,0,African Cup of Nations,2023,2023,2023
Juan José Óscar Siafá Etoha,2023,0,1,0,Equatorial Guinea,Center Forward,5,0,0,African Cup of Nations,2023,2023,2023
Jules Olivier Ntcham,2022,0,1,0,Cameroon,Right Defensive Midfield,5,0,0,African Cup of Nations,2022,2022,2022
Jules Olivier Ntcham,2023,0,5,0,Cameroon,Right Center Midfield,25,0,0,African Cup of Nations,2023,2023,2023
Julian Jeanvier,2023,0,4,0,Guinea,Left Center Back,20,0,0,African Cup of Nations,2023,2023,2023
Jérémy Bela,2023,0,1,0,Angola,Left Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Kamory Doumbia,2023,0,9,0,Mali,Center Attacking Midfield,45,0,0,African Cup of Nations,2023,2023,2023
Karim Konaté,2023,0,3,0,Côte d'Ivoire,Left Wing,15,0,0,African Cup of Nations,2023,2023,2023
Karl Brillant Toko Ekambi,2022,0,2,0,Cameroon,Left Wing,10,0,0,African Cup of Nations,2022,2022,2022
Karl Brillant Toko Ekambi,2023,1,6,0,Cameroon,Right Wing,80,0,0,African Cup of Nations,2023,2023,2023
Kelechi Promise Iheanacho,2018,0,3,0,Nigeria,Left Center Forward,15,0,0,African Cup of Nations,2018,2018,2018
Kelechi Promise Iheanacho,2023,1,4,0,Nigeria,Left Wing,70,0,0,African Cup of Nations,2023,2023,2023
Kennedy Amutenya,2023,0,6,0,Namibia,Right Center Back,30,0,0,African Cup of Nations,2023,2023,2023
Kennedy Musonda,2023,0,2,0,Zambia,Center Attacking Midfield,10,0,0,African Cup of Nations,2023,2023,2023
Kenneth Josiah Omeruo,2018,0,1,0,Nigeria,Left Center Back,5,0,0,African Cup of Nations,2018,2018,2018
Kenneth Josiah Omeruo,2023,1,1,0,Nigeria,Right Wing Back,55,0,0,African Cup of Nations,2023,2023,2023
Kenny Rocha Santos,2023,0,4,0,Cape Verde Islands,Right Center Midfield,20,0,0,African Cup of Nations,2023,2023,2023
Kevin Lenini Gonçalves Pereira de Pina,2023,1,5,0,Cape Verde Islands,Center Defensive Midfield,75,0,0,African Cup of Nations,2023,2023,2023
Khadim Diaw,2023,0,1,0,Mauritania,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Khuliso Johnson Mudau,2023,0,2,0,South Africa,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Kialonda Gaspar,2023,0,2,0,Angola,Center Back,10,0,0,African Cup of Nations,2023,2023,2023
Kings Kangwa,2023,1,3,0,Zambia,Right Center Midfield,65,0,0,African Cup of Nations,2023,2023,2023
Kévin Daniel Van Den Kerkhof,2023,0,2,0,Algeria,Right Back,10,0,0,African Cup of Nations,2023,2023,2023
Lameck Banda,2023,0,5,0,Zambia,Left Wing,25,0,0,African Cup of Nations,2023,2023,2023
Laros Duarte,2023,0,1,0,Cape Verde Islands,Center Attacking Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Lassana Coulibaly,2023,0,1,0,Mali,Right Center Midfield,5,0,0,African Cup of Nations,2023,2023,2023
Lassine Sinayoko,2023,3,9,0,Mali,Left Center Forward,195,0,0,African Cup of Nations,2023,2023,2023
Leon Aderemi Balogun,2018,0,3,0,Nigeria,Right Center Back,15,0,0,African Cup of Nations,2018,2018,2018
Lionel Mpasi-Nzau,2023,1,1,0,Congo DR,Goalkeeper,55,0,0,African Cup of Nations,2023,2023,2023
Loide António Augusto,2023,0,1,0,Angola,Right Wing Back,5,0,0,African Cup of Nations,2023,2023,2023
Lubambo Musonda,2023,0,1,0,Zambia,Left Back,5,0,0,African Cup of Nations,2023,2023,2023
Luis Miguel Nlavo Asue,2023,0,3,0,Equatorial Guinea,Right Midfield,15,0,0,African Cup of Nations,2023,2023,2023
