player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Ivo Iličević,2015/2016,4,43,0,Hamburger SV,Left Wing,415,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Ja-Cheol Koo,2015/2016,8,40,0,Augsburg,Center Attacking Midfield,600,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jae-Sung Lee,2023/2024,0,2,0,FSV Mainz 05,Left Attacking Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jairo Samperio Bustara,2015/2016,7,39,0,FSV Mainz 05,Left Wing,545,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jakub Błaszczykowski,2012/2013,0,3,0,Borussia Dortmund,Right Wing,15,0,0,1. Bundesliga,2012/2013,2012/2013,2012
Jamal Musiala,2023/2024,0,1,0,Bayern Munich,Left Attacking Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jamie Jermaine Bynoe-Gittens,2023/2024,0,3,0,Borussia Dortmund,Left Midfield,15,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jamie Leweling,2023/2024,0,1,0,VfB Stuttgart,Right Attacking Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jan Kliment,2015/2016,1,3,0,VfB Stuttgart,Left Wing,65,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jan Morávek,2015/2016,1,6,0,Augsburg,Right Defensive Midfield,80,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jan Rosenthal,2015/2016,0,17,0,Darmstadt 98,Center Attacking Midfield,85,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jan-Ingwer Callsen-Bracker,2015/2016,1,5,0,Augsburg,Right Center Back,75,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Janek Sternberg,2015/2016,0,2,0,Werder Bremen,Left Back,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Janik Haberer,2023/2024,0,1,0,Union Berlin,Right Wing,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jannik Vestergaard,2015/2016,2,34,0,Werder Bremen,Left Center Back,270,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Javier Hernández Balcázar,2015/2016,17,65,0,Bayer Leverkusen,Center Forward,1175,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Javier Martínez Aginaga,2012/2013,0,2,0,Bayern Munich,Right Defensive Midfield,10,0,0,1. Bundesliga,2012/2013,2012/2013,2012
Javier Martínez Aginaga,2015/2016,1,14,0,Bayern Munich,Left Center Midfield,120,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jean-Eric Maxim Choupo-Moting,2015/2016,6,50,0,Schalke 04,Left Wing,550,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jeffrey Gouweleeuw,2015/2016,0,2,0,Augsburg,Right Center Back,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jens Hegeler,2015/2016,0,13,0,Hertha Berlin,Left Center Midfield,65,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jeong-Ho Hong,2015/2016,2,15,0,Augsburg,Right Center Back,175,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jeremie Frimpong,2023/2024,9,56,0,Bayer Leverkusen,Right Wing Back,730,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jeremy Toljan,2015/2016,1,6,0,Hoffenheim,Left Back,80,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jessic Ngankam,2023/2024,0,1,0,FSV Mainz 05,Right Attacking Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jhon Andrés Córdoba Copete,2015/2016,5,30,0,FSV Mainz 05,Center Forward,400,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jiloan Hamad,2015/2016,1,4,0,Hoffenheim,Center Attacking Midfield,70,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jin-Su Kim,2015/2016,0,7,0,Hoffenheim,Left Back,35,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Joel Gerezgiher,2015/2016,0,4,0,Eintracht Frankfurt,Center Defensive Midfield,20,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Joelinton Cassio Apolinário de Lira,2015/2016,0,2,0,Hoffenheim,Center Attacking Midfield,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Johan Danon Djourou-Gbadjere,2015/2016,2,8,0,Hamburger SV,Right Center Back,140,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Johannes Flum,2015/2016,0,2,0,Eintracht Frankfurt,Right Center Midfield,10,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Johannes Geis,2015/2016,2,44,0,Schalke 04,Right Defensive Midfield,320,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Johannes van den Bergh,2015/2016,0,1,0,Hertha Berlin,Left Midfield,5,0,0,1. Bundesliga,2015/2016,2015/2016,2015
John Anthony Brooks,2015/2016,1,9,0,Hertha Berlin,Left Center Back,95,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jonas Hector,2015/2016,0,10,0,FC Köln,Left Back,50,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jonas Hofmann,2015/2016,1,16,0,Borussia Mönchengladbach,Center Attacking Midfield,130,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jonas Hofmann,2023/2024,4,62,0,Bayer Leverkusen,Right Attacking Midfield,510,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jonas Older Wind,2023/2024,0,6,0,Wolfsburg,Right Center Forward,30,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Jonathan Schmid,2015/2016,4,20,0,Hoffenheim,Left Midfield,300,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jonathan Tah,2015/2016,0,15,0,Bayer Leverkusen,Right Center Back,75,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Jonathan Tah,2023/2024,4,26,0,Bayer Leverkusen,Center Back,330,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Joo-Ho Park,2015/2016,0,3,0,Borussia Dortmund,Left Back,15,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Joseph Scally,2023/2024,0,1,0,Borussia Mönchengladbach,Left Wing Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Josha Mamadou Karaboue Vagnoman,2023/2024,0,1,0,VfB Stuttgart,Right Wing Back,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Joshua Kimmich,2015/2016,0,7,0,Bayern Munich,Left Center Back,35,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Joshua Kimmich,2023/2024,0,1,0,Bayern Munich,Right Defensive Midfield,5,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Josip Drmic,2015/2016,2,15,0,Borussia Mönchengladbach,Left Wing,175,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Josip Stanišić,2023/2024,3,10,0,Bayer Leverkusen,Right Center Back,200,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Josuha Guilavogui,2015/2016,2,24,0,Wolfsburg,Right Defensive Midfield,220,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Joël Andre Job Matip,2015/2016,3,31,0,Schalke 04,Right Center Back,305,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Juan Bernat Velasco,2015/2016,0,9,0,Bayern Munich,Left Back,45,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julian Baumgartlinger,2015/2016,2,13,0,FSV Mainz 05,Right Defensive Midfield,165,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julian Brandt,2015/2016,9,30,0,Bayer Leverkusen,Left Midfield,600,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julian Brandt,2023/2024,0,2,0,Borussia Dortmund,Center Attacking Midfield,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Julian Chabot,2023/2024,0,2,0,FC Köln,Left Center Back,10,0,0,1. Bundesliga,2023/2024,2023/2024,2023
Julian Draxler,2015/2016,6,44,0,Wolfsburg,Left Midfield,520,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julian Korb,2015/2016,1,5,0,Borussia Mönchengladbach,Right Back,75,0,0,1. Bundesliga,2015/2016,2015/2016,2015
Julian Ryerson,2023/2024,1,2,0,Borussia Dortmund,Left Back,60,0,0,1. Bundesliga,2023/2024,2023/2024,2023
