player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Danilo Soddimo,2015/2016,1,43,0,Frosinone,Left Midfield,265,0,0,Serie A,2015/2016,2015/2016,2015
Dario Dainelli,2015/2016,1,2,0,Chievo,Right Center Back,60,0,0,Serie A,2015/2016,2015/2016,2015
Darko Lazović,2015/2016,0,17,0,Genoa,Right Wing,85,0,0,Serie A,2015/2016,2015/2016,2015
David López Silva,2015/2016,1,10,0,Napoli,Right Center Midfield,100,0,0,Serie A,2015/2016,2015/2016,2015
Davide Astori,2015/2016,0,14,0,Fiorentina,Left Center Back,70,0,0,Serie A,2015/2016,2015/2016,2015
Davide Biondini,2015/2016,0,7,0,Sassuolo,Right Center Midfield,35,0,0,Serie A,2015/2016,2015/2016,2015
Davide Brivio,2015/2016,0,9,0,Atalanta,Left Back,45,0,0,Serie A,2015/2016,2015/2016,2015
Davide Calabria,2015/2016,0,1,0,AC Milan,Right Back,5,0,0,Serie A,2015/2016,2015/2016,2015
Davide Santon,2015/2016,0,3,0,Inter Milan,Right Back,15,0,0,Serie A,2015/2016,2015/2016,2015
Davide Zappacosta,2015/2016,1,15,0,Torino,Right Wing Back,125,0,0,Serie A,2015/2016,2015/2016,2015
Diego Alberto Milito,2009/2010,2,2,0,Inter Milan,Center Forward,110,0,0,Serie A,2009/2010,2009/2010,2009
Diego Armando Maradona,1986/1987,0,4,0,Napoli,Center Attacking Midfield,20,0,0,Serie A,1986/1987,1986/1987,1986
Diego Armando Maradona,1988/1989,2,8,0,Napoli,Center Attacking Midfield,140,0,0,Serie A,1988/1989,1988/1989,1988
Diego Falcinelli,2015/2016,2,25,0,Sassuolo,Center Forward,225,0,0,Serie A,2015/2016,2015/2016,2015
Diego Perotti,2015/2016,4,40,0,AS Roma,Center Attacking Midfield,400,0,0,Serie A,2015/2016,2015/2016,2015
Diego Sebastián Laxalt Suárez,2015/2016,3,34,0,Genoa,Left Wing Back,320,0,0,Serie A,2015/2016,2015/2016,2015
Diego Ángel Capel Trinidad,2015/2016,0,14,0,Genoa,Right Center Forward,70,0,0,Serie A,2015/2016,2015/2016,2015
Diogo José Rosário Gomes Figueiras,2015/2016,1,7,0,Genoa,Right Wing Back,85,0,0,Serie A,2015/2016,2015/2016,2015
Djamel Eddine Mesbah,2015/2016,0,2,0,Sampdoria,Left Back,10,0,0,Serie A,2015/2016,2015/2016,2015
