player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
Ramin Rezaeian,2022,1,2,0,Iran,Right Back,60,0,0,FIFA World Cup,2022,2022,2022
Ramón Antonio Mifflin Páez,1970,0,3,0,Peru,Left Defensive Midfield,15,0,0,FIFA World Cup,1970,1970,1970
Randal Kolo Muani,2022,2,5,0,France,Right Wing,125,0,0,FIFA World Cup,2022,2022,2022
Randal Kolo Muani,2024,1,3,0,France,Center Forward,65,0,0,FIFA World Cup,2024,2024,2024
Ransford Königsdörffer,2023,0,3,0,Ghana,Center Attacking Midfield,15,0,0,FIFA World Cup,2023,2023,2023
Raphael Dias Belloli,2022,0,8,0,Brazil,Right Wing,40,0,0,FIFA World Cup,2022,2022,2022
Raphael Dias Belloli,2024,1,8,0,Brazil,Right Wing,90,0,0,FIFA World Cup,2024,2024,2024
Raphaël Varane,2018,1,4,0,France,Right Center Back,70,0,0,FIFA World Cup,2018,2018,2018
Raphaël Varane,2020,0,2,0,France,Right Center Back,10,0,0,FIFA World Cup,2020,2020,2020
Raphaël Varane,2022,0,3,0,France,Right Center Back,15,0,0,FIFA World Cup,2022,2022,2022
Raymond Kopaszewski Wlodarczyck,1958,0,1,0,France,Left Center Forward,5,0,0,FIFA World Cup,1958,1958,1958
Raúl Alonso Jiménez Rodríguez,2018,0,1,0,Mexico,Center Forward,5,0,0,FIFA World Cup,2018,2018,2018
Reece James,2020,0,1,0,England,Right Back,5,0,0,FIFA World Cup,2020,2020,2020
Reinhard Lauck,1974,0,6,0,German DR,Right Center Midfield,30,0,0,FIFA World Cup,1974,1974,1974
Renato Fabrizio Tapia Cortijo,2018,0,1,0,Peru,Right Center Midfield,5,0,0,FIFA World Cup,2018,2018,2018
Renato Soares de Oliveira Augusto,2018,1,3,0,Brazil,Right Midfield,65,0,0,FIFA World Cup,2018,2018,2018
René van de Kerkhof,1974,0,3,0,Netherlands,Left Wing,15,0,0,FIFA World Cup,1974,1974,1974
Ricardo Daniel Pepi,2024,0,7,0,United States,Center Forward,35,0,0,FIFA World Cup,2024,2024,2024
Ricardo Omar Giusti,1986,0,1,0,Argentina,Right Wing Back,5,0,0,FIFA World Cup,1986,1986,1986
Ricardo Roberto Barreto da Rocha,1990,0,1,0,Brazil,Right Center Back,5,0,0,FIFA World Cup,1990,1990,1990
Ricardo Rogério de Brito,1990,0,4,0,Brazil,Right Defensive Midfield,20,0,0,FIFA World Cup,1990,1990,1990
Richarlison de Andrade,2022,3,8,0,Brazil,Center Forward,190,0,0,FIFA World Cup,2022,2022,2022
Rifat Zhemaletdinov,2020,0,2,0,Russia,Right Defensive Midfield,10,0,0,FIFA World Cup,2020,2020,2020
Riley McGree,2022,0,3,0,Australia,Right Center Forward,15,0,0,FIFA World Cup,2022,2022,2022
Ritsu Doan,2022,2,4,0,Japan,Right Wing,120,0,0,FIFA World Cup,2022,2022,2022
Rob Rensenbrink,1974,1,7,0,Netherlands,Left Wing,85,0,0,FIFA World Cup,1974,1974,1974
Robbie Kruse,2018,0,1,0,Australia,Left Wing,5,0,0,FIFA World Cup,2018,2018,2018
Robert Andrich,2024,0,7,0,Germany,Right Defensive Midfield,35,0,0,FIFA World Cup,2024,2024,2024
Roberto Chale Olarte,1970,0,3,0,Peru,Right Defensive Midfield,15,0,0,FIFA World Cup,1970,1970,1970
Roberto Firmino Barbosa de Oliveira,2018,1,6,0,Brazil,Center Forward,80,0,0,FIFA World Cup,2018,2018,2018
Roberto Lopes de Miranda,1970,0,2,0,Brazil,Center Forward,10,0,0,FIFA World Cup,1970,1970,1970
Roberto Perfumo,1974,0,1,0,Argentina,Center Back,5,0,0,FIFA World Cup,1974,1974,1974
Roberto Rivelino,1970,3,30,0,Brazil,Left Midfield,300,0,0,FIFA World Cup,1970,1970,1970
Roberto Rivelino,1974,0,3,0,Brazil,Left Defensive Midfield,15,0,0,FIFA World Cup,1974,1974,1974
Robin Gosens,2020,1,6,0,Germany,Left Wing Back,80,0,0,FIFA World Cup,2020,2020,2020
Robin Quaison,2020,0,1,0,Sweden,Right Center Forward,5,0,0,FIFA World Cup,2020,2020,2020
Rodrigo Bentancur Colmán,2018,0,3,0,Uruguay,Center Attacking Midfield,15,0,0,FIFA World Cup,2018,2018,2018
Rodrigo Bentancur Colmán,2022,0,3,0,Uruguay,Center Defensive Midfield,15,0,0,FIFA World Cup,2022,2022,2022
Rodrigo Bentancur Colmán,2024,4,4,0,Uruguay,Right Center Midfield,220,0,0,FIFA World Cup,2024,2024,2024
Rodrigo Javier De Paul,2022,0,7,0,Argentina,Right Center Midfield,35,0,0,FIFA World Cup,2022,2022,2022
Rodrigo Javier De Paul,2024,0,4,0,Argentina,Right Midfield,20,0,0,FIFA World Cup,2024,2024,2024
Rodrygo Silva de Goes,2022,0,7,0,Brazil,Center Attacking Midfield,35,0,0,FIFA World Cup,2022,2022,2022
